,0
130,0.2572757633587786
131,0.2572206439393939
132,0.2568139097744361
133,0.2581623134328358
134,0.2582175925925926
135,0.25919117647058826
136,0.2592381386861314
137,0.259963768115942
138,0.2597796762589928
139,0.26015625
140,0.2613031914893617
141,0.2613336267605634
142,0.26190996503496505
143,0.2625868055555556
144,0.26282327586206894
145,0.2629494863013699
146,0.2632865646258503
147,0.26372466216216217
148,0.2638422818791946
149,0.26416666666666666
150,0.26438327814569534
151,0.2640830592105263
152,0.26460375816993464
153,0.2648133116883117
154,0.2648185483870968
155,0.2653245192307692
156,0.26522691082802546
157,0.2655261075949367
158,0.2659198113207547
159,0.26591796875
160,0.265916149068323
161,0.26610725308641975
162,0.26639187116564417
163,0.2663871951219512
164,0.26666666666666666
165,0.26722515060240964
166,0.2681511976047904
167,0.2683221726190476
168,0.26849112426035504
169,0.26893382352941175
170,0.2694627192982456
171,0.26980377906976744
172,0.2702312138728324
173,0.2708333333333333
174,0.2711607142857143
175,0.27210582386363635
176,0.2719809322033898
177,0.27220856741573035
178,0.2722590782122905
179,0.2721354166666667
180,0.272185773480663
181,0.27266483516483514
182,0.273224043715847
183,0.27309782608695654
184,0.2733108108108108
185,0.27352150537634407
186,0.2735628342245989
187,0.2736037234042553
188,0.2736441798941799
189,0.27376644736842104
190,0.27405104712041883
191,0.2744140625
192,0.27501619170984454
193,0.27537048969072164
194,0.2758814102564103
195,0.27638711734693877
196,0.27641180203045684
197,0.2767518939393939
198,0.2769315326633166
199,0.277578125
200,0.2781405472636816
201,0.2776144801980198
202,0.2780942118226601
203,0.2783394607843137
204,0.2786585365853659
205,0.2786711165048544
206,0.2789100241545894
207,0.2786207932692308
208,0.27870813397129185
209,0.2790922619047619
210,0.2794727488151659
211,0.27999705188679247
212,0.2800762910798122
213,0.280008761682243
214,0.28008720930232556
215,0.28023726851851855
216,0.28067396313364057
217,0.28053325688073394
218,0.2803224885844749
219,0.2806818181818182
220,0.2814621040723982
221,0.28188344594594594
222,0.28237107623318386
223,0.2826450892857143
224,0.28305555555555556
225,0.2831858407079646
226,0.2840033039647577
227,0.2845394736842105
228,0.2845933406113537
229,0.28457880434782606
230,0.28476731601731603
231,0.28515625
232,0.2853406652360515
233,0.2853231837606838
234,0.2856382978723404
235,0.2860169491525424
236,0.28612869198312235
237,0.2861081932773109
238,0.28602248953974896
239,0.2865234375
240,0.2870850622406639
241,0.28738378099173556
242,0.2881301440329218
243,0.28797387295081966
244,0.2878188775510204
245,0.28823678861788615
246,0.28877783400809715
247,0.28899949596774194
248,0.2889683734939759
249,0.28925
250,0.28921812749003983
251,0.28943452380952384
252,0.2902050395256917
253,0.2906619094488189
254,0.2908700980392157
255,0.2911376953125
256,0.29128161478599224
257,0.29184835271317827
258,0.2923503861003861
259,0.2923076923076923
260,0.29238505747126436
261,0.2927600190839695
262,0.29289448669201523
263,0.29326467803030304
264,0.29298349056603773
265,0.2935267857142857
266,0.2936563670411985
267,0.2935517723880597
268,0.29362221189591076
269,0.29403935185185187
270,0.2945687269372694
271,0.2946346507352941
272,0.2948717948717949
273,0.2947080291970803
274,0.2948295454545454
275,0.29506340579710144
276,0.2952955776173285
277,0.2954136690647482
278,0.2951388888888889
279,0.29536830357142857
280,0.29542927046263345
281,0.29526817375886527
282,0.29516342756183744
283,0.2956646126760563
284,0.29583333333333334
285,0.2956730769230769
286,0.295786149825784
287,0.2962239583333333
288,0.29633434256055363
289,0.29682112068965516
290,0.2971971649484536
291,0.2977846746575342
292,0.2977282423208191
293,0.29799107142857145
294,0.298146186440678
295,0.298828125
296,0.2993476430976431
297,0.29902474832214765
298,0.2994878762541806
299,0.29973958333333334
300,0.30004152823920266
301,0.30003104304635764
302,0.3001237623762376
303,0.3003700657894737
304,0.30040983606557375
305,0.3003472222222222
306,0.30023412052117265
307,0.3002232142857143
308,0.3003640776699029
309,0.30025201612903224
310,0.30079381028938906
311,0.30093149038461536
312,0.3011182108626198
313,0.3015027866242038
314,0.30178571428571427
315,0.30181962025316456
316,0.3020011829652997
317,0.30203419811320753
318,0.30162617554858934
319,0.3021484375
320,0.30257009345794394
321,0.30289208074534163
322,0.30311532507739936
323,0.30304783950617287
324,0.3033653846153846
325,0.30377684049079756
326,0.30366016819571867
327,0.3036394817073171
328,0.3039988601823708
329,0.3040719696969697
330,0.30423904833836857
331,0.30426393072289154
332,0.30424174174174173
333,0.30426646706586824
334,0.3042444029850746
335,0.3044549851190476
336,0.30489614243323443
337,0.3053809171597633
338,0.3056323746312684
339,0.30574448529411763
340,0.30581011730205276
341,0.305875365497076
342,0.30621355685131196
343,0.30636809593023256
344,0.3065217391304348
345,0.30644869942196534
346,0.30642110951008644
347,0.3067528735632184
348,0.3069931948424069
349,0.3069642857142857
350,0.3071581196581197
351,0.30726207386363635
352,0.30740970254957506
353,0.3078213276836158
354,0.3080105633802817
355,0.3082426264044944
356,0.3084733893557423
357,0.308528282122905
358,0.3088004874651811
359,0.30885416666666665
360,0.30895083102493076
361,0.30909012430939226
362,0.309400826446281
363,0.3096668956043956
364,0.30997431506849316
365,0.31010928961748635
366,0.3102435286103542
367,0.3102921195652174
368,0.3103827913279133
369,0.3102618243243243
370,0.31056266846361186
371,0.31031586021505375
372,0.31061494638069703
373,0.3108288770053476
374,0.311
375,0.31121176861702127
